record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_prop_data_url,gel_prop_alpha_tubulin_to_actin,gel_prop_spec_number,gel_prop_region,gel_prop_expt_date
B23E3,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.34417936915272,52777.7,15,2024-05-11
632FD,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.0454663936746,52259.6,15,2024-05-11
4B3FA,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.44840389990752,52854.9,15,2024-05-11
D0F54,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.75343315086336,52903.6,15,2024-05-11
61BAC,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,7.77911755061367,52832.2,15,2024-05-11
63513,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,8.37328901075568,52880.2,15,2024-05-11
70D64,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,3.7037786895301,52923.2,15,2024-05-11
4473F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.36724294366606,52929.2,15,2024-05-11
B0BD1,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.59556376476322,52999.3,15,2024-05-11
0894E,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,7.11916901237459,52723.4,13,2024-05-11
246D8,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.73092193849782,52625.1,13,2024-05-11
4E8C1,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,6.71972725303263,51795.2,13,2024-05-11
B8BE2,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.1295364919403,52661.2,13,2024-05-11
EF5CB,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.5803571030828,54242.1,15,2024-05-11
7CE52,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.51528619451667,51777.1,13,2024-05-11
D612E,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.565421075465989,52909.8,15,2024-05-11
8CB30,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.37640895321905,52861.7,15,2024-05-11
5155D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.576564868058294,53019.7,15,2024-05-11
4D931,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.6023071233469,53026.6,15,2024-05-11
48CAF,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.899847532601549,53014.4,15,2024-05-11
6FE3A,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.11325781375281,53065.2,15,2024-05-11
78677,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.646346972657042,53948.3,15,2024-05-11
E067B,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.910527019962349,53142.5,15,2024-05-11
A306C,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.595498733692062,53237.5,15,2024-05-11
14C39,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.708762462577463,51799.3,13,2024-05-11
6634F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.48557529710873,52802.2,13,2024-05-11
8E8D8,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,3.39728061899795,52849.1,13,2024-05-11
B0644,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,4.31933773637293,52810.2,13,2024-05-11
1F3B8,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.78186749508323,73588.3,15,2024-05-11
DFEFA,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.95089557661113,51508.2,15,2024-05-11
3B62D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.940334732041636,53043.1,15,2024-05-11
2B487,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.800542545476049,53058.1,15,2024-05-11
BC90C,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.42887909224617,53079.1,15,2024-05-11
2508D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.41188187619567,53217.1,15,2024-05-11
5D687,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.747681864595695,54198.1,15,2024-05-11
06673,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.638529115440688,56661.1,15,2024-05-11
A43D6,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.981108660142091,51923.1,15,2024-05-11
311EB,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.963775977299569,51230.3,15,2024-05-11
2A33D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.73048614658689,51501.4,15,2024-05-11
E78B0,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.95395667146803,83158.8,15,2024-05-11
92A04,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.1656460925715,84322.4,15,2024-05-11
CB8A5,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.858093552907156,52672.8,15,2024-05-11
2D65C,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.24124401933658,73626.2,15,2024-05-11
5537F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,4.00084484385132,50251.5,15,2024-05-11
